0.00.024.291 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.156.230 I srv          init: The UI is disabled
0.00.156.237 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.158.337 W srv  llama_server: -----------------
0.00.158.340 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.158.340 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.158.341 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.158.341 W srv  llama_server: -----------------
0.00.172.781 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\Qwen3-1.7B-Q4_K_M.gguf'
0.00.739.100 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.350.882 I cmn          init: llama threadpool init, n_threads = 12
0.01.453.506 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.485.672 I srv  llama_server: model loaded
0.01.485.678 I srv  llama_server: listening on http://127.0.0.1:18080
0.01.566.973 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.01.567.040 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.01.763.462 I slot print_timing: id  3 | task 0 | prompt eval time =      46.24 ms /    20 tokens (    2.31 ms per token,   432.54 tokens per second)
0.01.763.471 I slot print_timing: id  3 | task 0 |        eval time =     150.09 ms /    16 tokens (   10.01 ms per token,    99.94 tokens per second)
0.01.763.472 I slot print_timing: id  3 | task 0 |       total time =     196.33 ms /    36 tokens
0.01.763.472 I slot print_timing: id  3 | task 0 |    graphs reused =         15
0.01.763.862 I slot      release: id  3 | task 0 | stop processing: n_tokens = 35, truncated = 0
0.01.791.464 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.700 (> 0.100 thold), f_keep = 0.400
0.01.794.496 I slot launch_slot_: id  3 | task 17 | processing task, is_child = 0
0.01.960.179 I slot print_timing: id  3 | task 17 | prompt eval time =      27.14 ms /     6 tokens (    4.52 ms per token,   221.04 tokens per second)
0.01.960.186 I slot print_timing: id  3 | task 17 |        eval time =     138.51 ms /    16 tokens (    9.23 ms per token,   108.29 tokens per second)
0.01.960.187 I slot print_timing: id  3 | task 17 |       total time =     165.66 ms /    22 tokens
0.01.960.188 I slot print_timing: id  3 | task 17 |    graphs reused =         29
0.01.960.211 I slot      release: id  3 | task 17 | stop processing: n_tokens = 35, truncated = 0
0.01.994.878 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.700 (> 0.100 thold), f_keep = 0.400
0.01.997.538 I slot launch_slot_: id  3 | task 34 | processing task, is_child = 0
0.02.145.384 I slot print_timing: id  3 | task 34 | prompt eval time =      16.54 ms /     6 tokens (    2.76 ms per token,   362.80 tokens per second)
0.02.145.390 I slot print_timing: id  3 | task 34 |        eval time =     131.28 ms /    16 tokens (    8.75 ms per token,   114.26 tokens per second)
0.02.145.391 I slot print_timing: id  3 | task 34 |       total time =     147.81 ms /    22 tokens
0.02.145.392 I slot print_timing: id  3 | task 34 |    graphs reused =         43
0.02.145.415 I slot      release: id  3 | task 34 | stop processing: n_tokens = 35, truncated = 0
0.02.164.601 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.700 (> 0.100 thold), f_keep = 0.400
0.02.168.183 I slot launch_slot_: id  3 | task 51 | processing task, is_child = 0
0.02.315.382 I slot print_timing: id  3 | task 51 | prompt eval time =      17.09 ms /     6 tokens (    2.85 ms per token,   351.19 tokens per second)
