0.00.023.810 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.113.870 I srv          init: The UI is disabled
0.00.113.876 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.113.967 W srv  llama_server: -----------------
0.00.113.968 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.113.968 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.113.968 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.113.968 W srv  llama_server: -----------------
0.00.117.624 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\SmolLM3-Q4_K_M.gguf'
0.01.822.650 I cmn          init: llama threadpool init, n_threads = 12
0.01.904.192 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.910.474 I srv  llama_server: model loaded
0.01.910.480 I srv  llama_server: listening on http://127.0.0.1:18082
0.02.464.305 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.464.366 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.02.844.266 I slot print_timing: id  3 | task 0 | prompt eval time =     156.42 ms /   260 tokens (    0.60 ms per token,  1662.21 tokens per second)
0.02.844.273 I slot print_timing: id  3 | task 0 |        eval time =     223.45 ms /    16 tokens (   14.90 ms per token,    67.13 tokens per second)
0.02.844.274 I slot print_timing: id  3 | task 0 |       total time =     379.87 ms /   276 tokens
0.02.844.275 I slot print_timing: id  3 | task 0 |    graphs reused =         15
0.02.844.381 I slot      release: id  3 | task 0 | stop processing: n_tokens = 275, truncated = 0
0.02.850.393 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.977 (> 0.100 thold), f_keep = 0.924
0.02.850.594 I slot launch_slot_: id  3 | task 17 | processing task, is_child = 0
0.03.098.905 I slot print_timing: id  3 | task 17 | prompt eval time =      32.36 ms /     6 tokens (    5.39 ms per token,   185.42 tokens per second)
0.03.098.916 I slot print_timing: id  3 | task 17 |        eval time =     215.92 ms /    16 tokens (   14.39 ms per token,    69.47 tokens per second)
0.03.098.917 I slot print_timing: id  3 | task 17 |       total time =     248.28 ms /    22 tokens
0.03.098.918 I slot print_timing: id  3 | task 17 |    graphs reused =         29
0.03.098.975 I slot      release: id  3 | task 17 | stop processing: n_tokens = 275, truncated = 0
0.03.132.148 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.977 (> 0.100 thold), f_keep = 0.924
0.03.132.481 I slot launch_slot_: id  3 | task 34 | processing task, is_child = 0
0.03.386.013 I slot print_timing: id  3 | task 34 | prompt eval time =      31.55 ms /     6 tokens (    5.26 ms per token,   190.17 tokens per second)
0.03.386.023 I slot print_timing: id  3 | task 34 |        eval time =     221.92 ms /    16 tokens (   14.79 ms per token,    67.59 tokens per second)
0.03.386.024 I slot print_timing: id  3 | task 34 |       total time =     253.47 ms /    22 tokens
0.03.386.025 I slot print_timing: id  3 | task 34 |    graphs reused =         43
0.03.386.083 I slot      release: id  3 | task 34 | stop processing: n_tokens = 275, truncated = 0
0.03.394.483 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.977 (> 0.100 thold), f_keep = 0.924
0.03.394.945 I slot launch_slot_: id  3 | task 51 | processing task, is_child = 0
0.03.642.851 I slot print_timing: id  3 | task 51 | prompt eval time =      30.95 ms /     6 tokens (    5.16 ms per token,   193.87 tokens per second)
0.03.642.887 I slot print_timing: id  3 | task 51 |        eval time =     216.87 ms /    16 tokens (   14.46 ms per token,    69.17 tokens per second)
0.03.642.891 I slot print_timing: id  3 | task 51 |       total time =     247.82 ms /    22 tokens
0.03.642.893 I slot print_timing: id  3 | task 51 |    graphs reused =         57
0.03.643.035 I slot      release: id  3 | task 51 | stop processing: n_tokens = 275, truncated = 0
0.03.654.579 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.973 (> 0.100 thold), f_keep = 0.924
0.03.655.031 I slot launch_slot_: id  3 | task 68 | processing task, is_child = 0
0.03.912.611 I slot print_timing: id  3 | task 68 | prompt eval time =      37.58 ms /     7 tokens (    5.37 ms per token,   186.26 tokens per second)
0.03.912.623 I slot print_timing: id  3 | task 68 |        eval time =     219.90 ms /    16 tokens (   14.66 ms per token,    68.21 tokens per second)
0.03.912.625 I slot print_timing: id  3 | task 68 |       total time =     257.48 ms /    23 tokens
0.03.912.626 I slot print_timing: id  3 | task 68 |    graphs reused =         71
