0.00.023.003 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.105.681 I srv          init: The UI is disabled
0.00.105.687 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.105.778 W srv  llama_server: -----------------
0.00.105.778 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.105.779 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.105.779 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.105.779 W srv  llama_server: -----------------
0.00.117.732 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\Qwen3-4B-Q4_K_M.gguf'
0.00.419.311 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to -2, abort
0.00.652.760 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.855.225 I cmn          init: llama threadpool init, n_threads = 12
0.01.944.224 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.01.955.616 I srv  llama_server: model loaded
0.01.955.626 I srv  llama_server: listening on http://127.0.0.1:18305
0.02.495.632 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.495.704 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.02.563.215 I slot print_timing: id  3 | task 0 | prompt eval time =      45.87 ms /    24 tokens (    1.91 ms per token,   523.27 tokens per second)
0.02.563.222 I slot print_timing: id  3 | task 0 |        eval time =      21.61 ms /     2 tokens (   21.61 ms per token,    46.27 tokens per second)
0.02.563.223 I slot print_timing: id  3 | task 0 |       total time =      67.48 ms /    26 tokens
0.02.563.223 I slot print_timing: id  3 | task 0 |    graphs reused =          1
0.02.563.253 I slot      release: id  3 | task 0 | stop processing: n_tokens = 25, truncated = 0
0.02.581.815 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.583 (> 0.100 thold), f_keep = 0.560
0.02.582.021 I slot launch_slot_: id  3 | task 3 | processing task, is_child = 0
0.02.657.683 I slot print_timing: id  3 | task 3 | prompt eval time =      30.42 ms /    10 tokens (    3.04 ms per token,   328.77 tokens per second)
0.02.657.691 I slot print_timing: id  3 | task 3 |        eval time =      45.21 ms /     3 tokens (   22.60 ms per token,    44.24 tokens per second)
0.02.657.692 I slot print_timing: id  3 | task 3 |       total time =      75.62 ms /    13 tokens
0.02.657.692 I slot print_timing: id  3 | task 3 |    graphs reused =          2
0.02.657.717 I slot      release: id  3 | task 3 | stop processing: n_tokens = 26, truncated = 0
0.02.693.352 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.583 (> 0.100 thold), f_keep = 0.538
0.02.693.548 I slot launch_slot_: id  3 | task 7 | processing task, is_child = 0
0.02.740.950 I slot print_timing: id  3 | task 7 | prompt eval time =      28.59 ms /    10 tokens (    2.86 ms per token,   349.72 tokens per second)
0.02.740.957 I slot print_timing: id  3 | task 7 |        eval time =      18.78 ms /     2 tokens (   18.78 ms per token,    53.26 tokens per second)
0.02.740.958 I slot print_timing: id  3 | task 7 |       total time =      47.37 ms /    12 tokens
0.02.740.958 I slot print_timing: id  3 | task 7 |    graphs reused =          2
0.02.740.982 I slot      release: id  3 | task 7 | stop processing: n_tokens = 25, truncated = 0
0.02.768.164 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.583 (> 0.100 thold), f_keep = 0.560
0.02.768.349 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.02.833.959 I slot print_timing: id  3 | task 10 | prompt eval time =      26.99 ms /    10 tokens (    2.70 ms per token,   370.55 tokens per second)
0.02.833.966 I slot print_timing: id  3 | task 10 |        eval time =      38.59 ms /     3 tokens (   19.30 ms per token,    51.82 tokens per second)
0.02.833.967 I slot print_timing: id  3 | task 10 |       total time =      65.58 ms /    13 tokens
0.02.833.967 I slot print_timing: id  3 | task 10 |    graphs reused =          3
0.02.833.991 I slot      release: id  3 | task 10 | stop processing: n_tokens = 26, truncated = 0
0.02.860.403 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.538 (> 0.100 thold), f_keep = 0.538
0.02.860.584 I slot launch_slot_: id  3 | task 14 | processing task, is_child = 0
0.02.926.153 I slot print_timing: id  3 | task 14 | prompt eval time =      27.10 ms /    12 tokens (    2.26 ms per token,   442.87 tokens per second)
0.02.926.163 I slot print_timing: id  3 | task 14 |        eval time =      38.44 ms /     3 tokens (   19.22 ms per token,    52.03 tokens per second)
0.02.926.164 I slot print_timing: id  3 | task 14 |       total time =      65.54 ms /    15 tokens
0.02.926.164 I slot print_timing: id  3 | task 14 |    graphs reused =          4
