0.00.036.698 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.147.885 I srv          init: The UI is disabled
0.00.147.889 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.147.993 W srv  llama_server: -----------------
0.00.147.993 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.147.994 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.147.994 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.147.994 W srv  llama_server: -----------------
0.00.164.755 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.03.203.026 I cmn          init: llama threadpool init, n_threads = 12
0.03.755.179 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16896, kv_unified = 'false'
0.03.770.229 I srv  llama_server: model loaded
0.03.770.237 I srv  llama_server: listening on http://127.0.0.1:18501
0.04.440.776 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.440.838 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.04.984.272 I slot print_timing: id  0 | task 0 | prompt eval time =     386.80 ms /   478 tokens (    0.81 ms per token,  1235.77 tokens per second)
0.04.984.281 I slot print_timing: id  0 | task 0 |        eval time =     156.60 ms /     5 tokens (   39.15 ms per token,    25.54 tokens per second)
0.04.984.283 I slot print_timing: id  0 | task 0 |       total time =     543.40 ms /   483 tokens
0.04.984.283 I slot print_timing: id  0 | task 0 |    graphs reused =          4
0.04.984.420 I slot      release: id  0 | task 0 | stop processing: n_tokens = 482, truncated = 0
0.05.156.577 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4957699
0.05.183.073 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.05.633.122 I slot print_timing: id  0 | task 6 | prompt eval time =     310.66 ms /   478 tokens (    0.65 ms per token,  1538.67 tokens per second)
0.05.633.136 I slot print_timing: id  0 | task 6 |        eval time =     139.36 ms /     5 tokens (   34.84 ms per token,    28.70 tokens per second)
0.05.633.137 I slot print_timing: id  0 | task 6 |       total time =     450.02 ms /   483 tokens
0.05.633.138 I slot print_timing: id  0 | task 6 |    graphs reused =          7
0.05.633.207 I slot      release: id  0 | task 6 | stop processing: n_tokens = 482, truncated = 0
0.05.874.067 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 5606483
0.05.899.011 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.06.420.978 I slot print_timing: id  0 | task 12 | prompt eval time =     356.93 ms /   476 tokens (    0.75 ms per token,  1333.59 tokens per second)
0.06.420.990 I slot print_timing: id  0 | task 12 |        eval time =     165.00 ms /     5 tokens (   41.25 ms per token,    24.24 tokens per second)
0.06.420.991 I slot print_timing: id  0 | task 12 |       total time =     521.94 ms /   481 tokens
0.06.420.992 I slot print_timing: id  0 | task 12 |    graphs reused =         10
0.06.421.076 I slot      release: id  0 | task 12 | stop processing: n_tokens = 480, truncated = 0
0.06.629.033 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6394353
0.06.652.588 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.07.128.127 I slot print_timing: id  0 | task 18 | prompt eval time =     322.23 ms /   480 tokens (    0.67 ms per token,  1489.60 tokens per second)
0.07.128.136 I slot print_timing: id  0 | task 18 |        eval time =     153.27 ms /     5 tokens (   38.32 ms per token,    26.10 tokens per second)
0.07.128.137 I slot print_timing: id  0 | task 18 |       total time =     475.50 ms /   485 tokens
0.07.128.138 I slot print_timing: id  0 | task 18 |    graphs reused =         13
0.07.128.228 I slot      release: id  0 | task 18 | stop processing: n_tokens = 484, truncated = 0
0.07.299.861 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7101507
0.07.324.219 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.07.768.904 I slot print_timing: id  0 | task 24 | prompt eval time =     304.97 ms /   476 tokens (    0.64 ms per token,  1560.79 tokens per second)
0.07.768.912 I slot print_timing: id  0 | task 24 |        eval time =     139.68 ms /     5 tokens (   34.92 ms per token,    28.64 tokens per second)
0.07.768.913 I slot print_timing: id  0 | task 24 |       total time =     444.66 ms /   481 tokens
0.07.768.914 I slot print_timing: id  0 | task 24 |    graphs reused =         16
0.07.768.993 I slot      release: id  0 | task 24 | stop processing: n_tokens = 480, truncated = 0
0.08.019.098 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7742272
0.08.040.928 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.08.486.557 I slot print_timing: id  0 | task 30 | prompt eval time =     310.65 ms /   478 tokens (    0.65 ms per token,  1538.72 tokens per second)
0.08.486.569 I slot print_timing: id  0 | task 30 |        eval time =     134.96 ms /     5 tokens (   33.74 ms per token,    29.64 tokens per second)
0.08.486.571 I slot print_timing: id  0 | task 30 |       total time =     445.60 ms /   483 tokens
0.08.486.572 I slot print_timing: id  0 | task 30 |    graphs reused =         19
0.08.486.641 I slot      release: id  0 | task 30 | stop processing: n_tokens = 482, truncated = 0
0.08.674.959 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8459918
0.08.707.530 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.09.164.685 I slot print_timing: id  0 | task 36 | prompt eval time =     314.16 ms /   478 tokens (    0.66 ms per token,  1521.50 tokens per second)
0.09.164.699 I slot print_timing: id  0 | task 36 |        eval time =     142.96 ms /     5 tokens (   35.74 ms per token,    27.98 tokens per second)
0.09.164.701 I slot print_timing: id  0 | task 36 |       total time =     457.13 ms /   483 tokens
0.09.164.701 I slot print_timing: id  0 | task 36 |    graphs reused =         22
0.09.164.768 I slot      release: id  0 | task 36 | stop processing: n_tokens = 482, truncated = 0
0.09.438.394 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9138045
0.09.463.982 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
0.09.897.926 I slot print_timing: id  0 | task 42 | prompt eval time =     296.12 ms /   476 tokens (    0.62 ms per token,  1607.43 tokens per second)
0.09.897.938 I slot print_timing: id  0 | task 42 |        eval time =     137.79 ms /     5 tokens (   34.45 ms per token,    29.03 tokens per second)
0.09.897.940 I slot print_timing: id  0 | task 42 |       total time =     433.92 ms /   481 tokens
0.09.897.940 I slot print_timing: id  0 | task 42 |    graphs reused =         25
0.09.898.006 I slot      release: id  0 | task 42 | stop processing: n_tokens = 480, truncated = 0
0.10.197.848 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9871282
0.10.223.883 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
0.10.657.233 I slot print_timing: id  0 | task 48 | prompt eval time =     297.02 ms /   477 tokens (    0.62 ms per token,  1605.97 tokens per second)
0.10.657.245 I slot print_timing: id  0 | task 48 |        eval time =     136.31 ms /     5 tokens (   34.08 ms per token,    29.35 tokens per second)
0.10.657.246 I slot print_timing: id  0 | task 48 |       total time =     433.32 ms /   482 tokens
0.10.657.247 I slot print_timing: id  0 | task 48 |    graphs reused =         28
0.10.657.315 I slot      release: id  0 | task 48 | stop processing: n_tokens = 481, truncated = 0
0.10.790.549 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10630592
0.10.813.123 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
0.11.264.920 I slot print_timing: id  0 | task 54 | prompt eval time =     308.61 ms /   478 tokens (    0.65 ms per token,  1548.91 tokens per second)
0.11.264.933 I slot print_timing: id  0 | task 54 |        eval time =     143.16 ms /     5 tokens (   35.79 ms per token,    27.94 tokens per second)
0.11.264.935 I slot print_timing: id  0 | task 54 |       total time =     451.77 ms /   483 tokens
0.11.264.936 I slot print_timing: id  0 | task 54 |    graphs reused =         31
0.11.265.007 I slot      release: id  0 | task 54 | stop processing: n_tokens = 482, truncated = 0
0.11.397.632 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11238284
0.11.421.219 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
0.11.867.367 I slot print_timing: id  0 | task 60 | prompt eval time =     301.05 ms /   480 tokens (    0.63 ms per token,  1594.45 tokens per second)
0.11.867.380 I slot print_timing: id  0 | task 60 |        eval time =     145.07 ms /     5 tokens (   36.27 ms per token,    27.57 tokens per second)
0.11.867.382 I slot print_timing: id  0 | task 60 |       total time =     446.12 ms /   485 tokens
0.11.867.383 I slot print_timing: id  0 | task 60 |    graphs reused =         34
0.11.867.448 I slot      release: id  0 | task 60 | stop processing: n_tokens = 484, truncated = 0
0.12.042.430 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11840725
0.12.068.400 I slot launch_slot_: id  0 | task 66 | processing task, is_child = 0
0.12.521.963 I slot print_timing: id  0 | task 66 | prompt eval time =     311.19 ms /   476 tokens (    0.65 ms per token,  1529.60 tokens per second)
0.12.521.975 I slot print_timing: id  0 | task 66 |        eval time =     142.34 ms /     5 tokens (   35.59 ms per token,    28.10 tokens per second)
0.12.521.976 I slot print_timing: id  0 | task 66 |       total time =     453.53 ms /   481 tokens
