0.00.028.047 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.100.261 I srv          init: The UI is disabled
0.00.100.268 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.100.376 W srv  llama_server: -----------------
0.00.100.379 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.100.379 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.100.379 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.100.379 W srv  llama_server: -----------------
0.00.105.785 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.04.259.654 I cmn          init: llama threadpool init, n_threads = 12
0.04.834.286 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16896, kv_unified = 'false'
0.04.841.074 I srv  llama_server: model loaded
0.04.841.082 I srv  llama_server: listening on http://127.0.0.1:18502
0.05.414.609 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.414.671 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.05.942.371 I slot print_timing: id  0 | task 0 | prompt eval time =     356.80 ms /   484 tokens (    0.74 ms per token,  1356.49 tokens per second)
0.05.942.378 I slot print_timing: id  0 | task 0 |        eval time =     170.87 ms /     5 tokens (   42.72 ms per token,    23.41 tokens per second)
0.05.942.379 I slot print_timing: id  0 | task 0 |       total time =     527.67 ms /   489 tokens
0.05.942.379 I slot print_timing: id  0 | task 0 |    graphs reused =          4
0.05.942.437 I slot      release: id  0 | task 0 | stop processing: n_tokens = 488, truncated = 0
0.06.133.114 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 5916842
0.06.160.687 I slot launch_slot_: id  0 | task 6 | processing task, is_child = 0
0.06.680.874 I slot print_timing: id  0 | task 6 | prompt eval time =     352.30 ms /   484 tokens (    0.73 ms per token,  1373.84 tokens per second)
0.06.680.888 I slot print_timing: id  0 | task 6 |        eval time =     167.84 ms /     5 tokens (   41.96 ms per token,    23.83 tokens per second)
0.06.680.889 I slot print_timing: id  0 | task 6 |       total time =     520.14 ms /   489 tokens
0.06.680.890 I slot print_timing: id  0 | task 6 |    graphs reused =          7
0.06.680.975 I slot      release: id  0 | task 6 | stop processing: n_tokens = 488, truncated = 0
0.06.861.826 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6655380
0.06.887.486 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.07.384.250 I slot print_timing: id  0 | task 12 | prompt eval time =     331.00 ms /   482 tokens (    0.69 ms per token,  1456.18 tokens per second)
0.07.384.260 I slot print_timing: id  0 | task 12 |        eval time =     165.73 ms /     5 tokens (   41.43 ms per token,    24.14 tokens per second)
0.07.384.261 I slot print_timing: id  0 | task 12 |       total time =     496.73 ms /   487 tokens
0.07.384.262 I slot print_timing: id  0 | task 12 |    graphs reused =         10
0.07.384.308 I slot      release: id  0 | task 12 | stop processing: n_tokens = 486, truncated = 0
0.07.627.104 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 7358714
0.07.651.782 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.08.171.993 I slot print_timing: id  0 | task 18 | prompt eval time =     338.20 ms /   506 tokens (    0.67 ms per token,  1496.14 tokens per second)
0.08.172.001 I slot print_timing: id  0 | task 18 |        eval time =     181.98 ms /     5 tokens (   45.49 ms per token,    21.98 tokens per second)
0.08.172.002 I slot print_timing: id  0 | task 18 |       total time =     520.18 ms /   511 tokens
0.08.172.005 I slot print_timing: id  0 | task 18 |    graphs reused =         13
0.08.172.054 I slot      release: id  0 | task 18 | stop processing: n_tokens = 510, truncated = 0
0.08.470.601 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8146459
0.08.497.728 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.08.998.982 I slot print_timing: id  0 | task 24 | prompt eval time =     330.21 ms /   483 tokens (    0.68 ms per token,  1462.71 tokens per second)
0.08.998.992 I slot print_timing: id  0 | task 24 |        eval time =     171.01 ms /     5 tokens (   42.75 ms per token,    23.39 tokens per second)
0.08.998.993 I slot print_timing: id  0 | task 24 |       total time =     501.22 ms /   488 tokens
0.08.998.993 I slot print_timing: id  0 | task 24 |    graphs reused =         16
0.08.999.041 I slot      release: id  0 | task 24 | stop processing: n_tokens = 487, truncated = 0
0.09.196.115 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8973446
0.09.222.350 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.09.724.604 I slot print_timing: id  0 | task 30 | prompt eval time =     329.39 ms /   484 tokens (    0.68 ms per token,  1469.38 tokens per second)
0.09.724.613 I slot print_timing: id  0 | task 30 |        eval time =     172.82 ms /     5 tokens (   43.21 ms per token,    23.15 tokens per second)
0.09.724.614 I slot print_timing: id  0 | task 30 |       total time =     502.21 ms /   489 tokens
0.09.724.615 I slot print_timing: id  0 | task 30 |    graphs reused =         19
0.09.724.671 I slot      release: id  0 | task 30 | stop processing: n_tokens = 488, truncated = 0
0.09.943.690 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9699077
0.09.972.961 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.10.474.089 I slot print_timing: id  0 | task 36 | prompt eval time =     329.80 ms /   485 tokens (    0.68 ms per token,  1470.60 tokens per second)
0.10.474.098 I slot print_timing: id  0 | task 36 |        eval time =     171.29 ms /     5 tokens (   42.82 ms per token,    23.35 tokens per second)
0.10.474.099 I slot print_timing: id  0 | task 36 |       total time =     501.09 ms /   490 tokens
0.10.474.100 I slot print_timing: id  0 | task 36 |    graphs reused =         22
0.10.474.157 I slot      release: id  0 | task 36 | stop processing: n_tokens = 489, truncated = 0
0.10.685.858 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10448562
0.10.715.119 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
0.11.226.318 I slot print_timing: id  0 | task 42 | prompt eval time =     330.52 ms /   484 tokens (    0.68 ms per token,  1464.35 tokens per second)
0.11.226.327 I slot print_timing: id  0 | task 42 |        eval time =     180.65 ms /     5 tokens (   45.16 ms per token,    22.14 tokens per second)
0.11.226.328 I slot print_timing: id  0 | task 42 |       total time =     511.17 ms /   489 tokens
0.11.226.329 I slot print_timing: id  0 | task 42 |    graphs reused =         25
0.11.226.380 I slot      release: id  0 | task 42 | stop processing: n_tokens = 488, truncated = 0
0.11.498.795 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11200785
0.11.525.017 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
0.12.019.913 I slot print_timing: id  0 | task 48 | prompt eval time =     330.84 ms /   496 tokens (    0.67 ms per token,  1499.22 tokens per second)
0.12.019.922 I slot print_timing: id  0 | task 48 |        eval time =     164.02 ms /     5 tokens (   41.01 ms per token,    24.39 tokens per second)
0.12.019.923 I slot print_timing: id  0 | task 48 |       total time =     494.86 ms /   501 tokens
0.12.019.924 I slot print_timing: id  0 | task 48 |    graphs reused =         28
0.12.019.977 I slot      release: id  0 | task 48 | stop processing: n_tokens = 500, truncated = 0
0.12.298.410 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11994382
0.12.324.269 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
0.12.881.104 I slot print_timing: id  0 | task 54 | prompt eval time =     343.68 ms /   509 tokens (    0.68 ms per token,  1481.02 tokens per second)
0.12.881.118 I slot print_timing: id  0 | task 54 |        eval time =     213.12 ms /     6 tokens (   42.62 ms per token,    23.46 tokens per second)
0.12.881.120 I slot print_timing: id  0 | task 54 |       total time =     556.80 ms /   515 tokens
0.12.881.121 I slot print_timing: id  0 | task 54 |    graphs reused =         31
0.12.881.225 I slot      release: id  0 | task 54 | stop processing: n_tokens = 514, truncated = 0
0.13.143.323 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 12855630
0.13.173.420 I slot launch_slot_: id  0 | task 61 | processing task, is_child = 0
0.13.669.738 I slot print_timing: id  0 | task 61 | prompt eval time =     329.00 ms /   487 tokens (    0.68 ms per token,  1480.26 tokens per second)
0.13.669.746 I slot print_timing: id  0 | task 61 |        eval time =     167.29 ms /     5 tokens (   41.82 ms per token,    23.91 tokens per second)
0.13.669.747 I slot print_timing: id  0 | task 61 |       total time =     496.28 ms /   492 tokens
0.13.669.748 I slot print_timing: id  0 | task 61 |    graphs reused =         34
0.13.669.797 I slot      release: id  0 | task 61 | stop processing: n_tokens = 491, truncated = 0
0.13.907.895 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 13644202
0.13.937.465 I slot launch_slot_: id  0 | task 67 | processing task, is_child = 0
0.14.444.770 I slot print_timing: id  0 | task 67 | prompt eval time =     340.01 ms /   482 tokens (    0.71 ms per token,  1417.61 tokens per second)
