0.00.027.089 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.027.969 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.129.434 I srv          init: The UI is disabled
0.00.129.442 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.129.564 W srv  llama_server: -----------------
0.00.129.564 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.129.565 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.129.565 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.129.565 W srv  llama_server: -----------------
0.00.140.909 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\Qwen3-4B-Q4_K_M.gguf'
0.02.265.282 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.564.089 I cmn          init: llama threadpool init, n_threads = 12
0.04.617.254 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16896, kv_unified = 'false'
0.04.638.565 I srv  llama_server: model loaded
0.04.638.580 I srv  llama_server: listening on http://127.0.0.1:18502
0.05.627.306 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.05.627.418 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.06.770.147 I slot print_timing: id  0 | task 0 | prompt eval time =     635.22 ms /   479 tokens (    1.33 ms per token,   754.07 tokens per second)
0.06.770.157 I slot print_timing: id  0 | task 0 |        eval time =     507.41 ms /     7 tokens (   84.57 ms per token,    11.82 tokens per second)
0.06.770.159 I slot print_timing: id  0 | task 0 |       total time =    1142.63 ms /   486 tokens
0.06.770.160 I slot print_timing: id  0 | task 0 |    graphs reused =          6
0.06.770.266 I slot      release: id  0 | task 0 | stop processing: n_tokens = 485, truncated = 0
0.07.267.008 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6745802
0.07.298.141 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.08.306.045 I slot print_timing: id  0 | task 8 | prompt eval time =     528.14 ms /   479 tokens (    1.10 ms per token,   906.95 tokens per second)
0.08.306.056 I slot print_timing: id  0 | task 8 |        eval time =     479.72 ms /     7 tokens (   79.95 ms per token,    12.51 tokens per second)
0.08.306.057 I slot print_timing: id  0 | task 8 |       total time =    1007.87 ms /   486 tokens
0.08.306.058 I slot print_timing: id  0 | task 8 |    graphs reused =         11
0.08.306.118 I slot      release: id  0 | task 8 | stop processing: n_tokens = 485, truncated = 0
0.08.743.531 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 8281654
0.08.775.492 I slot launch_slot_: id  0 | task 16 | processing task, is_child = 0
0.09.764.870 I slot print_timing: id  0 | task 16 | prompt eval time =     502.13 ms /   477 tokens (    1.05 ms per token,   949.96 tokens per second)
0.09.764.884 I slot print_timing: id  0 | task 16 |        eval time =     487.21 ms /     7 tokens (   81.20 ms per token,    12.32 tokens per second)
0.09.764.885 I slot print_timing: id  0 | task 16 |       total time =     989.33 ms /   484 tokens
0.09.764.887 I slot print_timing: id  0 | task 16 |    graphs reused =         16
0.09.764.977 I slot      release: id  0 | task 16 | stop processing: n_tokens = 483, truncated = 0
0.10.235.207 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 9740515
0.10.264.601 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.11.272.240 I slot print_timing: id  0 | task 24 | prompt eval time =     523.71 ms /   497 tokens (    1.05 ms per token,   949.01 tokens per second)
0.11.272.251 I slot print_timing: id  0 | task 24 |        eval time =     483.90 ms /     7 tokens (   80.65 ms per token,    12.40 tokens per second)
0.11.272.252 I slot print_timing: id  0 | task 24 |       total time =    1007.60 ms /   504 tokens
0.11.272.253 I slot print_timing: id  0 | task 24 |    graphs reused =         21
0.11.272.309 I slot      release: id  0 | task 24 | stop processing: n_tokens = 503, truncated = 0
0.11.653.255 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11247846
0.11.680.489 I slot launch_slot_: id  0 | task 32 | processing task, is_child = 0
0.12.623.516 I slot print_timing: id  0 | task 32 | prompt eval time =     491.96 ms /   478 tokens (    1.03 ms per token,   971.62 tokens per second)
0.12.623.525 I slot print_timing: id  0 | task 32 |        eval time =     451.03 ms /     7 tokens (   75.17 ms per token,    13.30 tokens per second)
0.12.623.526 I slot print_timing: id  0 | task 32 |       total time =     942.99 ms /   485 tokens
0.12.623.527 I slot print_timing: id  0 | task 32 |    graphs reused =         26
0.12.623.590 I slot      release: id  0 | task 32 | stop processing: n_tokens = 484, truncated = 0
0.12.914.440 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 12599127
0.12.942.249 I slot launch_slot_: id  0 | task 40 | processing task, is_child = 0
0.13.889.053 I slot print_timing: id  0 | task 40 | prompt eval time =     493.21 ms /   479 tokens (    1.03 ms per token,   971.18 tokens per second)
0.13.889.063 I slot print_timing: id  0 | task 40 |        eval time =     453.55 ms /     7 tokens (   75.59 ms per token,    13.23 tokens per second)
0.13.889.064 I slot print_timing: id  0 | task 40 |       total time =     946.77 ms /   486 tokens
0.13.889.066 I slot print_timing: id  0 | task 40 |    graphs reused =         31
0.13.889.113 I slot      release: id  0 | task 40 | stop processing: n_tokens = 485, truncated = 0
0.14.177.044 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 13864650
0.14.205.757 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
0.15.136.846 I slot print_timing: id  0 | task 48 | prompt eval time =     491.68 ms /   480 tokens (    1.02 ms per token,   976.24 tokens per second)
0.15.136.859 I slot print_timing: id  0 | task 48 |        eval time =     439.37 ms /     7 tokens (   73.23 ms per token,    13.66 tokens per second)
0.15.136.861 I slot print_timing: id  0 | task 48 |       total time =     931.05 ms /   487 tokens
0.15.136.862 I slot print_timing: id  0 | task 48 |    graphs reused =         36
0.15.136.944 I slot      release: id  0 | task 48 | stop processing: n_tokens = 486, truncated = 0
0.15.454.546 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 15112480
0.15.482.098 I slot launch_slot_: id  0 | task 56 | processing task, is_child = 0
0.16.426.575 I slot print_timing: id  0 | task 56 | prompt eval time =     504.96 ms /   479 tokens (    1.05 ms per token,   948.59 tokens per second)
0.16.426.587 I slot print_timing: id  0 | task 56 |        eval time =     439.49 ms /     7 tokens (   73.25 ms per token,    13.65 tokens per second)
0.16.426.588 I slot print_timing: id  0 | task 56 |       total time =     944.44 ms /   486 tokens
0.16.426.589 I slot print_timing: id  0 | task 56 |    graphs reused =         41
0.16.426.641 I slot      release: id  0 | task 56 | stop processing: n_tokens = 485, truncated = 0
0.16.769.447 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 16402178
0.16.796.713 I slot launch_slot_: id  0 | task 64 | processing task, is_child = 0
0.17.721.900 I slot print_timing: id  0 | task 64 | prompt eval time =     489.93 ms /   489 tokens (    1.00 ms per token,   998.10 tokens per second)
0.17.721.912 I slot print_timing: id  0 | task 64 |        eval time =     435.22 ms /     7 tokens (   72.54 ms per token,    13.79 tokens per second)
0.17.721.913 I slot print_timing: id  0 | task 64 |       total time =     925.15 ms /   496 tokens
0.17.721.914 I slot print_timing: id  0 | task 64 |    graphs reused =         46
0.17.721.958 I slot      release: id  0 | task 64 | stop processing: n_tokens = 495, truncated = 0
0.18.118.706 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 17697494
0.18.146.644 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
0.19.200.325 I slot print_timing: id  0 | task 72 | prompt eval time =     493.73 ms /   500 tokens (    0.99 ms per token,  1012.71 tokens per second)
0.19.200.337 I slot print_timing: id  0 | task 72 |        eval time =     559.91 ms /     8 tokens (   79.99 ms per token,    12.50 tokens per second)
0.19.200.339 I slot print_timing: id  0 | task 72 |       total time =    1053.63 ms /   508 tokens
0.19.200.340 I slot print_timing: id  0 | task 72 |    graphs reused =         52
0.19.200.411 I slot      release: id  0 | task 72 | stop processing: n_tokens = 507, truncated = 0
0.19.645.253 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 19175948
0.19.677.784 I slot launch_slot_: id  0 | task 81 | processing task, is_child = 0
0.20.625.993 I slot print_timing: id  0 | task 81 | prompt eval time =     490.46 ms /   482 tokens (    1.02 ms per token,   982.74 tokens per second)
0.20.626.005 I slot print_timing: id  0 | task 81 |        eval time =     457.66 ms /     7 tokens (   76.28 ms per token,    13.11 tokens per second)
0.20.626.006 I slot print_timing: id  0 | task 81 |       total time =     948.12 ms /   489 tokens
0.20.626.007 I slot print_timing: id  0 | task 81 |    graphs reused =         57
0.20.626.060 I slot      release: id  0 | task 81 | stop processing: n_tokens = 488, truncated = 0
0.20.973.482 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20601596
0.21.004.284 I slot launch_slot_: id  0 | task 89 | processing task, is_child = 0
0.21.951.985 I slot print_timing: id  0 | task 89 | prompt eval time =     490.02 ms /   477 tokens (    1.03 ms per token,   973.43 tokens per second)
0.21.951.997 I slot print_timing: id  0 | task 89 |        eval time =     457.64 ms /     7 tokens (   76.27 ms per token,    13.11 tokens per second)
0.21.951.998 I slot print_timing: id  0 | task 89 |       total time =     947.66 ms /   484 tokens
0.21.951.999 I slot print_timing: id  0 | task 89 |    graphs reused =         62
0.21.952.048 I slot      release: id  0 | task 89 | stop processing: n_tokens = 483, truncated = 0
0.22.353.198 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 21927585
0.22.381.395 I slot launch_slot_: id  0 | task 97 | processing task, is_child = 0
0.23.340.464 I slot print_timing: id  0 | task 97 | prompt eval time =     482.10 ms /   475 tokens (    1.01 ms per token,   985.28 tokens per second)
