0.00.021.881 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.022.033 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.083.067 I srv          init: The UI is disabled
0.00.083.073 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.083.163 W srv  llama_server: -----------------
0.00.083.165 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.083.165 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.083.165 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.083.165 W srv  llama_server: -----------------
0.00.088.107 I srv    load_model: loading model 'D:\Code\mong-nhiem\artifacts\models\mn-002\Llama-3.2-3B-Instruct-Q4_K_M.gguf'
0.03.008.069 I cmn          init: llama threadpool init, n_threads = 12
0.03.545.159 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16896, kv_unified = 'false'
0.03.554.813 I srv  llama_server: model loaded
0.03.554.820 I srv  llama_server: listening on http://127.0.0.1:18504
0.04.168.813 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.168.864 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.401.498 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.76, t =   4.23 s / 1451.59 tokens per second
0.10.648.451 I slot print_timing: id  0 | task 0 | prompt eval time =    6140.73 ms /  8135 tokens (    0.75 ms per token,  1324.76 tokens per second)
0.10.648.464 I slot print_timing: id  0 | task 0 |        eval time =     338.83 ms /     5 tokens (   84.71 ms per token,    11.81 tokens per second)
0.10.648.466 I slot print_timing: id  0 | task 0 |       total time =    6479.56 ms /  8140 tokens
0.10.648.467 I slot print_timing: id  0 | task 0 |    graphs reused =          4
0.10.648.936 I slot      release: id  0 | task 0 | stop processing: n_tokens = 8139, truncated = 0
0.10.792.403 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10629435
0.11.064.525 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.15.264.015 I slot print_timing: id  0 | task 9 | prompt processing, n_tokens =   6144, progress = 0.75, t =   4.20 s / 1463.05 tokens per second
0.17.529.249 I slot print_timing: id  0 | task 9 | prompt eval time =    6118.89 ms /  8160 tokens (    0.75 ms per token,  1333.58 tokens per second)
0.17.529.259 I slot print_timing: id  0 | task 9 |        eval time =     345.80 ms /     5 tokens (   86.45 ms per token,    11.57 tokens per second)
0.17.529.261 I slot print_timing: id  0 | task 9 |       total time =    6464.69 ms /  8165 tokens
0.17.529.261 I slot print_timing: id  0 | task 9 |    graphs reused =          7
0.17.529.570 I slot      release: id  0 | task 9 | stop processing: n_tokens = 8164, truncated = 0
0.17.611.216 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 17510068
0.17.884.093 I slot launch_slot_: id  0 | task 18 | processing task, is_child = 0
0.22.086.855 I slot print_timing: id  0 | task 18 | prompt processing, n_tokens =   6144, progress = 0.75, t =   4.20 s / 1461.91 tokens per second
0.24.578.481 I slot print_timing: id  0 | task 18 | prompt eval time =    6307.36 ms /  8151 tokens (    0.77 ms per token,  1292.30 tokens per second)
0.24.578.491 I slot print_timing: id  0 | task 18 |        eval time =     387.00 ms /     5 tokens (   96.75 ms per token,    10.34 tokens per second)
0.24.578.492 I slot print_timing: id  0 | task 18 |       total time =    6694.36 ms /  8156 tokens
0.24.578.493 I slot print_timing: id  0 | task 18 |    graphs reused =         10
0.24.578.821 I slot      release: id  0 | task 18 | stop processing: n_tokens = 8155, truncated = 0
0.24.707.895 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 24559319
0.25.062.895 I slot launch_slot_: id  0 | task 27 | processing task, is_child = 0
0.30.036.454 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =   6144, progress = 0.75, t =   4.97 s / 1235.35 tokens per second
0.32.768.983 I slot print_timing: id  0 | task 27 | prompt eval time =    7328.57 ms /  8162 tokens (    0.90 ms per token,  1113.72 tokens per second)
0.32.768.994 I slot print_timing: id  0 | task 27 |        eval time =     377.48 ms /     5 tokens (   94.37 ms per token,    10.60 tokens per second)
0.32.768.995 I slot print_timing: id  0 | task 27 |       total time =    7706.05 ms /  8167 tokens
0.32.768.996 I slot print_timing: id  0 | task 27 |    graphs reused =         13
0.32.769.417 I slot      release: id  0 | task 27 | stop processing: n_tokens = 8166, truncated = 0
0.32.869.824 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 32749916
0.33.359.581 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.37.954.774 I slot print_timing: id  0 | task 36 | prompt processing, n_tokens =   6144, progress = 0.75, t =   4.60 s / 1337.06 tokens per second
0.40.344.646 I slot print_timing: id  0 | task 36 | prompt eval time =    6609.93 ms /  8170 tokens (    0.81 ms per token,  1236.02 tokens per second)
0.40.344.658 I slot print_timing: id  0 | task 36 |        eval time =     375.10 ms /     5 tokens (   93.77 ms per token,    10.66 tokens per second)
0.40.344.660 I slot print_timing: id  0 | task 36 |       total time =    6985.03 ms /  8175 tokens
0.40.344.661 I slot print_timing: id  0 | task 36 |    graphs reused =         16
0.40.345.500 I slot      release: id  0 | task 36 | stop processing: n_tokens = 8174, truncated = 0
0.40.451.868 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 40326002
0.40.895.884 I slot launch_slot_: id  0 | task 45 | processing task, is_child = 0
0.45.288.437 I slot print_timing: id  0 | task 45 | prompt processing, n_tokens =   6144, progress = 0.75, t =   4.39 s / 1398.74 tokens per second
0.47.683.721 I slot print_timing: id  0 | task 45 | prompt eval time =    6368.88 ms /  8182 tokens (    0.78 ms per token,  1284.68 tokens per second)
